no	label	annotate	sentence
sgww85	1		I have gone and bought some whiskey.
bc01	0	*	We love they.
r-67	1		This rock is too heavy for me to begin to decide about helping Bob to try to pick it up.
sks13	1		She is proud.
r-67	0	*	Max gave the car Levi's shove.
l-93	1		This flyer differs from that flyer.
ks08	1		Being lovely to look at has its advantages.
l-93	1		The twig broke off of the branch.
ad03	1		Who's there?
ks08	1		If students study hard, teachers will be happy.
cj99	0	*	He seems to become more corrupt, the more lobbyists every senator talks to.
ks08	0	*	John seems fond of ice cream, and Bill seems, too.
g_81	1		John hummed, and Mary sang, at equal volumes.
c_13	1		I asked Mike if he had seen the Yeti.
b_73	0	*	Sally eats more the stuff.
ks08	1		John tagged the monkey in the forest.
bc01	0	*	Bill poorly recited his lines.
l-93	1		The mouse nibbled on the cheese.
r-67	1		The dumplings which Sasha is gobbling down faster than I can reheat them are extremely tasty, if I do say so.
ks08	1		John died last night.
l-93	1		A serious accident happened in front of them.
c_13	1		Bill gave Sue the book.
c_13	1		Who do you think Ciaran will question first?
r-67	0	*	Sally's sick and what did you bring me?
kl93	1		Almost any owl hunts mice.
r-67	0	*	The lute which Henry plays and sings madrigals is warped.
bc01	1		Sally suspected Joe, but he didn't Holly.
l-93	1		Nora brought the book from horne.
ks08	1		Who do you think visited Seoul last year?
ks08	0	*	The effectiveness of teaching and learning depend on several factors.
b_73	1		Jack eats caviar more than he eats mush.
bc01	1		Ions struck the electrode.
bc01	0	*	The kettle bubbled water up.
r-67	1		I went out with a girl who it pleased that John showed up.
rhl07	1		Leigh threw the ball to Lane.
ks08	0	*	Speaking not English is a disadvantage.
bc01	1		I don't think Fred will, either.
ks08	1		The defendant denied the accusation.
ks08	1		No photo of Max and sketch by his students appeared in the magazine.
sgww85	1		On this table, they put a lamp, and on that table, a radio.
l-93	1		This wood carves beautiful toys.
ks08	0	*	That dog is so ferocious, it even tried to bite himself.
m_02	1		Flora cooks.
rhl07	0	*	Robin arrived most of the way at the station.
bc01	1		Kathy likes astronomy, but she doesn't meteorology?
r-67	0	*	We'll go together, us.
b_73	1		Such a scholar as you were speaking of just now is here.
ks08	0	*	The president could not approve the bill, could he?
m_02	1		The girls wondered who Mr Bennet had received in his library.
sks13	0	*	Everyone hopes him to sleep.
bc01	0	*	Aunt Mary made the boys all a good mother.
ks08	1		No one knows how to tell from a good beer to a bad one.
r-67	1		It was this hat that Tom said Al thought you wanted me to make Jack put on.
r-67	1		Fred tore the curtain in rolling up the wallpaper.
c_13	1		The Brazilians pumped the oil across the river.
sks13	0	*	My nephew could write letters the postcards to his parents.
cj99	1		John is more embarrassed, the more pictures of himself that appear in the news.
ad03	1		We believed him to be omnipotent
ad03	0	*	Every reading Shakespeare satisfied me
c_13	1		I want him to eat asparagus.
r-67	0	*	That the sun is out was obvious.
gj04	0	*	We yelled ourselves.
r-67	1		Who are you trying to get hold of?
l-93	1		In this cave was found an ancient treasure trove.
rhl07	1		The close brush with the law put the fear of god in him.
kl93	1		Sue was the most likely not to say anything.
l-93	1		Cheryl stood the books on the table.
ks08	1		When did he say that he was fired?
ks08	0	*	The senators be certain that the president is telling a lie.
cj99	1		The more lobbyists wine and dine him, the more every senator is susceptible to corruption.
ad03	1		There are many fish in the sea.
l-93	0	*	The spaceship revolves the earth.
c_13	1		John asked if the unflattering description of his work would be published in the paper.
ks08	1		He failed chemistry because he can't understand it.
ad03	0	*	Jason intended for he to learn magic.
ks08	1		They're not finding it a stress being in the same office.
ks08	1		John put his books in the attic.
sks13	1		John believes that Bill saw himself.
c_13	1		I know several people that she kissed.
l-93	1		Donna fixed a sandwich.
ks08	0	*	We caught them ate the bananas.
ks08	1		Tagalog is spoken in the Philippines.
sks13	0	*	What Henry found is Bill sad.
ks08	1		Jane isn't sure whether the students keep the books.
r-67	1		A review came out yesterday of this article.
l-93	1		We peered around the room.
ks08	0	*	The monkeys kept forgotten their lines.
cj99	0	*	The most you want, the least you eat.
sks13	1		Mary drank some beer in the barn from 6 to nine.
gj04	1		One more pseudo generalization and I'm giving up.
b_82	1		The men all would not have been working.
c_13	1		Angus is not leaving.
c_13	1		Michael accidentally broke the glass.
ks08	1		John kept him behind the garage.
c_13	1		The men are dancing.
l-93	0	*	The stone carved.
bc01	1		Who do you think that Mary said that John likes?
bc01	1		The DA proved Jones guilty and the Assistant DA will prove Smith.
ks08	0	*	New York was slept in.
ks08	0	*	Tom tends for Mary to avoid confrontations.
gj04	0	*?	Bill pushed Harry off the sofa for hours.
b_73	1		I'm worrying, more than thinking.
ks08	1		That John coughed bothers me.
r-67	1		My father, I hardly ever see him and my mother when they're not glaring at each other.
r-67	1		Evidence will be presented that he was drunk.
cj99	1		I want to explain exactly why the more you eat, the less you want.
ad03	1		Who seemed to have left first?
ks08	1		The love of my life and father of my children would never do such a thing.
ks08	1		They read the new book.
c_13	1		The biggest man in the room said that John danced an Irish jig from County Kerry to County Tipperary on Thursday.
ks08	0	*	John died to heart disease.
c_13	0	*	John loves Mary's pictures of himself.
r-67	0	*	I gave Jack Ed's picture of myself.
m_02	0	*	When did Fanny return, she found Tom Bertram very ill.
ad03	0	*	We all thought him was unhappy
sks13	1		She will put a picture of Bill on your desk before tomorrow.
ks08	0	*	He treats John very shame.
ks08	1		Every photo of Max and sketch by his students appeared in the magazine.
l-93	0	*	I stalked for game in the woods.
ks08	0	*	Who did Herb believe the claim that cheated?
ks08	1		The president's bodyguard learned surveillance.
ks08	0	*	Every student, who attended the party, had a good time.
ks08	0	*	He is looked generally on as selfish.
m_02	1		The vase was smashed deliberately.
ks08	1		Can the child read the book?
sks13	1		It was for $1000 that Ann bought a first edition of Richard III.
kl93	1		At most three teachers assigned homework.
b_82	1		Would the men each have been working?
l-93	1		Bees are swarming in the garden.
ks08	0	*	The professor found some strong evidences of water on Mars.
rhl07	1		Give a fresh coat of paint to the front door.
d_98	1		A soldier should be prepared to die for her country.
ks08	1		In which box did John put the book?
r-67	0	*	Reports on the covers of which the government prescribes the height of the lettering almost always put me to sleep.
bc01	1		Someone from every city hates it.
ks08	0	*	You can rely on that he will help you.
ks08	1		Tom believes Stephen to be irritating.
bc01	0	*	Rub the baby with the cloth asleep.
l-93	1		David constructed a house from bricks.
r-67	1		I gave the book to Harvey because he asked me to.
b_82	1		He stopped writing poems.
ad03	1		Who seems to be certain to leave first?
sks13	1		John asked whether Bill left.
bc01	1		He can't have been working.
c_13	0	*	There arrived three men at the palace.
sgww85	1		You British and you Americans pamper yourselves.
ks08	1		The man, a ball kicked.
rhl07	0	*	Susan gave the ball all the way to Bill.
b_73	1		He's as reliable a man.
ks08	0	*	The bus hopes to be here at five.
l-93	1		The sun dried the clothes.
c_13	0	*	I think for John to like his beer.
ad03	1		Benjamin gave the cloak and sent the book to Lee
ks08	0	*	Kim put the book.
rhl07	1		The water melted into ice.
m_02	0	*	When in came Aunt Norris Fanny stopped talking.
ks08	0	*	I wonder what city that Romans destroyed.
r-67	0	*	Bill made Sarah's gal to me of $40.
l-93	0	*	The door hit.
l-93	1		The lions jumped through the hoop.
r-67	1		Bill told me something awful: that ice won't sink.
l-93	0	*	The thief stole the museum of the painting.
l-93	1		Bill sold Tom a car.
bc01	1		The box contains the ball.
cj99	1		The more people you say will buy tickets, the happier I'll be.
ks08	1		He saw the man with the stick.
l-93	0	*	This movie just watches itself.
bc01	1		The writers did so believe the boy.
bc01	1		Few boys read any of the books.
l-93	1		Cynthia lunched.
ad03	0	*	She tried to do go.
l-93	1		There stood on the comer a statue of Jefferson.
l-93	1		In front of them happen.
ks08	0	*	They can down.
l-93	0	*	The fence hit with a stick.
ks08	1		She was sent a review copy of the book by the publisher.
ks08	1		The cat devoured the rat.
ad03	1		You friends of the king are all the same
ad03	1		Agamemnon forced Aphrodite to leave the school.
b_73	1		So eminent a scholar as Dr. Lucille Hein was here.
ks08	0	*	There tries to leave the country.
b_73	1		He's so reliable a man.
l-93	0	*	Tamara poured at water into the bowl.
ks08	1		A man kicked that ball.
l-93	0	*	Carla slid at the book to Dale.
sks13	0	*	They heard John's criticism of each other.
sks13	0	*	the girls likes herself.
c_13	1		I wanted him to leave.
ad03	1		How quickly did you eat the cake?
sks13	1		Sharks seem to swim slowly in the tropics.
c_13	0	*	The rock placed the sky with the fork.
l-93	0	*	This list includes my name on itself.
c_13	1		Is Bill eating his tuna?
bc01	1		John couldn't visit Sally.
l-93	1		Amanda drove the package.
c_13	1		Clyde got a passionate love letter from Stacy.
ks08	0	*	The problem intrigued us bothered me.
sks13	1		There are two main characters in the novel.
c_13	1		The big man from New York loves bagels with cream cheese.
r-67	0	*	That Jack ever slept is possible.
ad03	1		After the executioner left, Poseidon wept.
l-93	0	*	A cheerful welcome was beamed by Sandra.
ks08	1		They elected Graham chairman.
ks08	1		My brother is an Einstein at maths.
m_02	0	*	Because never had Sir Thomas been so offended, even Mr Yates left.
r-67	0	*	Willy is taller than Bill is strong and.
sks13	1		I will eat spaghetti on Sunday with Marco.
ks08	1		The video which I thought you recommended was really terrific.
r-67	0	*	The tall nurse who Tony has a Fiat and yearns for is cruel to him.
ks08	1		John sounded happy.
r-67	0	*	Mike talked to about politics yesterday my friends.
ks08	1		They believe there to be a dragon in the wood.
l-93	0	*	Heather cabled the news at Sara.
ks08	1		The teacher made students happy.
r-67	1		There were several hundred people yelling for me to put down gently.
ks08	1		She gets upset whether I exclude her from anything.
l-93	1		He skated Penny around the rink.
bc01	1		John fed rice to the baby.
bc01	1		I would hate for John to win.
l-93	1		The men were able to mine more gold.
ks08	0	*	He walked right the wall.
ks08	1		Clinton supported the health care bill.
l-93	0	*	Cynthia ate on the peach.
l-93	1		Brutus murdered Julius Caesar.
bc01	0	*	He impresses his friends all as pompous.
ks08	1		They all agreed to include those matters which everyone believed had been excluded from the Treaty.
ad03	1		A description of Aristotle is in the book.
m_02	1		The visas are with the passports.
m_02	1		Anne astonished her father.
g_81	1		He was talkative and a bully.
ks08	0	*	John met in the park a student.
r-67	0	*	Who does Phineas know a girl behind?
b_73	1		Mary has more friends than two.
m_02	1		The piano was bought for Jane by Frank.
ks08	0	*	He does can leave here.
c_13	0	*	I put the box the book.
bc01	1		John tries to often meet Mary.
ks08	1		To delay the march and to go ahead with it have been argued by different people at different times.
ad03	1		Moya's football team loved her
l-93	0	*	I hunted for game in the woods.
l-93	1		Tony broke her arm.
ks08	1		All native speakers have a grammatical competence which can generate an infinite set of grammatical sentences from a finite set of resources.
ad03	1		The readings of Shakespeare satisfied me
ks08	1		The monkey seems despondent that it is in a cage.
l-93	1		Sharon fainted at the sight of the accident.
rhl07	1		We gave a fresh coat of paint to the house.
sks13	1		It is your notes that John wants to look at after class.
b_73	1		Susan doesn't eat her vegetables enough.
ks08	1		A man came into the room that no one knew.
ad03	1		I asked did Medea poison Jason.
m_02	1		The company sent China its senior mining engineers to help plan the new mines.
r-67	0	*	It started to rain after Jackie and me, we had finally gotten to our seats.
ks08	0	*	They expected us to should leave him.
ad03	1		The microphone salesman's 0 irritating patter was relentless.
ks08	1		The public never had faith in his ability to handle the job.
l-93	1		Roses flowered in the garden.
ad03	0	*	Which temple did Athena contemplate the reason that her devotees had built?
r-67	0	*	Maxwell isn't half the doctor that that he would be if he studied is certain.
sks13	1		I put the book on the desk on Sunday.
r-67	0	*	The boy whose guardian's we elected employer president betrayed us.
kl93	1		I'm sorry that he ever said anything.
ks08	1		Mary expected John to fix the computer.
bc01	0	*	Mary thinks that John said that Susan likes pictures of himself?
c_13	1		The snake flattened itself against the rock.
c_13	1		Did Bill eat his dinner?
l-93	1		A lot of clothes are drying on the line.
ad03	0	*	Gilgamesh seek may Ishtar
b_73	1		Jack is more tall than thin.
ad03	1		Whose poem about Achilles did Homer persuade Jason that he should read?
rhl07	1		I threw the ball to Julian, but it fell short of him.
ks08	1		With their teacher, the kids have arrived safely, haven't they?
sks13	1		John promised Bill to leave.
c_13	1		Erin never keeps her pencils in the correct drawer.
c_13	1		Catherine did her homework.
sgww85	1		They found pictures of themselves.
r-67	1		We'll do it together, you and me.
ks08	1		John remained somewhat calm.
c_13	0	*	Louis begged Kate to shave himself.
ks08	1		Stephen seems to be irritating.
c_13	1		I gave Leah the box.
b_73	1		More has happened in the last week than will happen in the next year.
c_13	1		Fiona has not eaten the sauteed candy canes.
l-93	0	*	Tony bent the table with the rod.
bc01	1		Every man lifted the table.
ad03	1		I looked the number up.
r-67	1		Which hat do you believe that she never wore?
ks08	1		We have not confirmed whether the flight had been booked.
ad03	0	*	Someone did Medea poison.
bc01	1		John tries not to meet Mary.
c_13	1		Andrew is in Tucson's finest apartment.
r-67	0	??	That piece of ice is too big for it to be likely for him to be able to pick up with a teaspoon.
ks08	0	*	John suddenly got the bus off.
ad03	1		I wondered had he left yet.
bc01	0	*	Water emptied the cup.
ks08	1		John put the books in a box.
bc01	1		Who did John think that Bill claimed that Mary suspected that everybody liked?
ks08	0	*	Tagalog is speaks in the Philippines.
c_13	1		Reading about herself in the tabloids always annoys Sandra.
c_13	1		Bill has been dancing.
ad03	0	*	Which the poem did Homer recite?
l-93	1		The window broke.
ks08	1		The characters in Shakespeare's Twelfth Night live in a world that has been turned upside-down.
ks08	1		Wash yourself.
b_73	0	*	She made such a much better reply.
ks08	1		A book was handed to Chris.
c_13	1		Which animals appear to have lost their collars?
ks08	1		He walked right into the wall.
ad03	1		What kind of actor is he?
r-67	0	*	John is prouder of having gone than John expected me to believe that he wasn't.
sks13	1		I wonder has Mary worked for Microsoft.
l-93	1		Cynthia ate the peach with a fork.
r-67	1		Palmer is a guy who for for him to stay in school would be stupid.
g_81	1		John is easy to please and to love.
c_13	0	*	I blew up it.
ks08	0	*	The man a ball kicked.
l-93	0	*	The collaborators escaped the convict.
ad03	0	*	Medea tried her to leave.
cj99	0	*	When it rains harder, how much faster a flow that appears in the river?
r-67	1		The man who I read a statement about is sick.
ks08	1		The chicken was eaten.
ad03	0	*	There arrived by Medea.
r-67	0	*	The door has seven holes in it and the window.
ks08	0	*	Does John have gone to the library?
bc01	1		Mickey looked the reference up.
m_02	1		Enthusiastic golfers with large handicaps can be good company.
l-93	1		The dog flopped in the comer.
c_13	0	*	I might ate deep fried muffins.
r-67	1		Tom drives the way that that man drives.
ks08	0	*	Wear it like that is what you do.
gj04	1		This building got taller and wider than that one.
r-67	0	*	Make yourself comfortable and I got sick.
ad03	0	*	I introduced her to he.
ks08	1		Was the child found?
l-93	0	*	The thief chased.
sks13	1		Who left Bill.
r-67	1		This hat I believe that he was wearing.
ks08	1		He can hardly believe that it's already over.
g_81	0	*	The kennel in which Mary made and Fido sleeps has been stolen.
m_02	0	*	Because never had Sir Thomas been so offended, Mr Yates left.
l-93	1		I pushed at the table.
ks08	1		That the march should go ahead and that it should be cancelled have been argued by different people at different times.
sks13	1		I will speak to Hector about this.
l-93	0	*	I lifted him up the books.
ks08	1		Lee voted for Bill because his father told him to.
ad03	0	*	Julie maintained if the barman was sober.
bc01	0	*	Who would you prefer for to win the race?
bc01	0	*	John gave Bill of the book.
sks13	1		The clever snake disappeared into a hole in the ground.
l-93	0	*	The city destroyed.
cj99	1		The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters.
l-93	1		Crystal breaks at the slightest touch.
c_13	1		I expect to more than double my profits.
l-93	1		That joke never fails to amuse little children.
m_02	1		These cars sold very quickly last week.
c_13	1		Susan begged to be allowed to sing in the concert.
sks13	1		The fact that John is snoring is informative.
ks08	0	*	There is believed to be a sheep in the park.
ks08	1		He dared not argue against his parents.
r-67	0	*	I gave a picture of a covered bridge and to my sister a hundred hikers from Hoboken.
ks08	0	*	That he is clever is eager to be obvious.
r-67	1		How carelessly have you picked up TNT?
ad03	0	*	She liked Moya's football.
ad03	1		It appears that Poseidon owns a dragon
ad03	1		Anson's hen nibbled his ear.
b_73	1		He's that reliable a man.
r-67	0	?*	Did you notice of which difficulties she made light?
ks08	0	*	The senators certain that the president is telling a lie.
ks08	0	*	a pencil with that to write broke.
l-93	0	*	There melted a lot of snow on the streets of Chicago.
d_98	1		Can anyone pledge $1000?
l-93	1		The jewel sparkled.
r-67	1		That he sometimes went there alone is certain.
ks08	1		Tom seems eager to catch a cold.
ks08	1		No one suspects that he is a fool.
l-93	1		Selina touched the horse on the back.
sks13	1		I prefer for Mary to run.
r-67	1		My wife, somebody stole her handbag last night.
ad03	1		The Paris I used to know is no more
bc01	1		He admires every man.
m_02	1		The Minister has arrived.
bc01	1		I often send Mary home drunk, and she gets there just fine.
d_98	1		John bought any picture of Queen Elizabeth that was on sale.
bc01	0	*	We proved conclusively to the authorities Smith to be the thief.
c_13	0	*	Kiss himself.
ks08	0	*	I washed me.
c_13	1		Rory is eating muffins.
m_02	0	*	All Mr Collins has done is have praised Lady de Bourg.
l-93	1		Susan whispered the news to Rachel.
r-67	0	*	The boy whose uncle and Tom's aunt's grandmother were kissing was furious.
ad03	0	*	I persuaded there to be a problem.
l-93	1		The garden flowered with roses.
r-67	1		That a review came out yesterday of this article is catastrophic.
ks08	0	*	The senators to be certain that the president is telling a lie.
l-93	0	*	Paul exhaled on Mary.
ks08	1		What is John eager to do?
ks08	0	*	They read the sing book.
r-67	1		After Henry had touched a sword, Webster did it.
d_98	1		There is every book by Chomsky in this library.
m_02	1		It is the garden that the gardener planted with roses.
ks08	0	*	John put in the box.
c_13	1		Susan bought some flowers for her birthday.
l-93	0	*	I funneled the mixture from Edna to Rina.
r-67	1		Romeo conceded that he and Juliet were going steady.
r-67	1		John is taller than Bill by that much.
c_13	1		George sang to himself.
bc01	0	*	The problem's perception is quite thorough.
bc01	0	*	Runs Mary the marathon?
ks08	1		He is proud of his son's passing the bar exam.
l-93	1		A fire raged over the fields.
ad03	1		Michael left Meg
ks08	0	*	John carried to the door.
d_98	1		John talked to any woman who came up to him.
l-93	1		Ellen warned Helen.
rhl07	1		The music lent a festive air to the party.
l-93	0	*	The stick touched the fence.
sks13	1		I saw only the student.
l-93	1		She spruced herself up before the job interview.
g_81	0	*	Who do you regret you saw?
l-93	1		The hanging gardens are a sight to behold.
bc01	1		John learned French perfectly.
sks13	1		He muttered that the visitors will leave.
bc01	1		Joe's neuroses bother his patrons, and Sally's neuroses do too.
r-67	0	*	That piano, which the boy's playing loudly drove everyone crazy, was badly out of tune.
bc01	0	*	the logs piled the barge high.
m_02	1		The dog dug a hole in the lawn.
ad03	1		Where did they go all for their holidays?
l-93	1		I detached the handle.
d_98	1		Every student read any book on giraffes he found.
c_13	1		Heidi saw Peter's picture of her.
d_98	1		Any woman who heard the news contributed to the fund.
l-93	1		Paula spanked the naughty child's back.
ks08	1		Some sentences can go on.
sks13	0	*	her will the race.
bc01	1		John's refusal of the offer was shocking.
bc01	1		The sidewalk is straddled by the fence.
r-67	0	*	Did that John showed up please you?
c_13	1		The swing blasted the golf ball across the green.
c_13	1		Rory may be eating the muffins.
kl93	1		Every student who handed in any homework will get a prize.
m_02	1		The climbers were killed by the intense cold.
r-67	0	*	Bill left when that no one else was awake is certain.
d_98	1		Bill offered Mary everything he had cooked for dinner.
l-93	1		I sensed the eagerness in him.
l-93	0	*	Linda taped the wall with the picture.
ad03	1		Jason expected the doctor to treat Medea
ks08	1		The president Fred voted for has resigned.
rhl07	1		I sent the bicycle from my house at the beach to my house in the mountains.
ad03	1		It seems that Agamemnon left.
rhl07	1		Leigh threw Lane the ball.
bc01	1		Hard work resulted in high grades.
l-93	1		Martha slowly descended the stairs.
gj04	1		The gardener watered the flowers.
l-93	1		The river froze solid.
m_02	1		The gentleman who saved Marianne was Willoughby.
m_02	1		She said that in came Aunt Norris.
m_02	1		Larry hunted all the foxes.
b_82	1		I would prefer that he not have finished.
ad03	1		Paris is no more
ks08	1		That we invaded Iraq really freaks me out.
b_73	1		They may grow as much as six feet high.
c_13	1		I ate sugar.
d_98	1		John didn't talk to a woman.
ks08	1		Neither of these men is worthy to lead Italy.
ks08	1		I made it my objective to settle the matter.
sks13	1		Everyone thinks he is smart.
b_82	1		I put the book on the table.
sgww85	1		Kim likes Sandy, and Lee Leslie. to try to go to Rome.
ks08	0	*	Sam may be had been interrogating by the FBI.
ks08	0	*	It is order one first that you should do first.
ks08	1		In which box did he put the book?
r-67	1		John is prouder of having gone than I expected you to believe he would be of not having fallen asleep.
l-93	1		Jill dressed hurriedly.
bc01	0	*	John would be preferred to be the candidate.
ad03	1		He looked the number up
m_02	1		Sue knows the answer.
r-67	0	*	We elected employer president the boy's guardian's.
ad03	1		Anson appeared
ad03	1		What did he reply?
c_13	1		I asked for him to eat the asparagus.
kl93	0	*	It isn't because Sue said anything bad about me that I'm angry, although she did say some bad things about me.
bc01	1		John learned French immediately.
d_98	1		Never is any lion majestic.
ks08	1		John not leave.
l-93	1		The jeweller printed the name under the picture.
c_13	1		The kangaroo hopped over the truck.
bc01	1		The agents caught the terrorist.
sks13	1		I saw the physics student.
l-93	1		The package weighed ten pounds.
sks13	0	*	I emptied it with butter.
l-93	1		I shaved.
c_13	1		What did Jean think was likely to have been stolen?
bc01	1		While José won't talk about Mag, he might about Holly.
bc01	1		The ship's sinking was very devious.
b_73	0	*	A tangerine isn't as much different from an orange as I'd thought.
l-93	1		Jessica squirted water at me.
ks08	0	*	George is having lived in Toledo for thirty years.
l-93	1		Steve tossed the ball over the fence.
c_13	1		For him to eat asparagus is a travesty.
gj04	1		Fred watered the plants flat.
l-93	0	*	The line is drying with a lot of clothes.
l-93	0	*	I whipped the eggs from a puddle into a froth.
m_02	0	*	Larry all hunted the foxes.
ks08	1		A boy hit the ball.
kl93	1		I was surprised that he stole the watch, in as far as that was a daring thing to do.
ks08	0	*	John seems to rain.
l-93	1		Kelly buttered the bread.
gj04	0	*	She yelled hoarse.
cj99	0	?*	I can well imagine with a hatchet Mary destroying the Jeep.
l-93	1		Carmen bought a dress.
l-93	1		Carrie touched the fence with a stick.
bc01	1		José is eating cabbage, and Holly is too.
l-93	1		Jessica sprayed paint onto the table.
l-93	1		Ellen and Helen talked.
ad03	1		Have you seen Mary? I have vP seen Mary
l-93	0	*	I put the book to Sally.
l-93	1		I presented a solution yesterday.
ad03	0	*	Anson believed to be happy.
ks08	1		John sang a song, Mary played the piano.
l-93	1		A large flag fluttered over the fort.
ad03	1		The boy thought she was happy.
sks13	1		Bill's mother's friends are waiting at the restaurant.
r-67	0	*	The boy who I watched Bill and was vain.
ks08	1		What is to come is in this document.
sks13	0	*	John criticized.
bc01	1		While I might want to, this is the kind of thing that Harris has already suggested.
ks08	1		Under the bed is a safe place to hide.
l-93	1		Heather cabled the news.
l-93	0	*	The children amused at the clown.
ks08	1		All of his wealth come from real estate investments.
sgww85	1		Which dress has she gone and ruined now?
cj99	0	*	The harder it rains, how much faster that do you run?
g_81	0	*	Who do you think that saw you?
c_13	0	*	Himself sang to George.
ks08	1		Which student were you talking about?
l-93	0	*	We offered a job behind her.
ks08	1		John enjoyed drawing trees for his syntax homework.
r-67	1		I have some papers to grade.
sks13	1		They wonder about this.
ks08	1		They talked about the scandal for days.
kl93	1		I'm sorry he bought a car.
ks08	1		What the gentleman seemed to be asking is how policy would have differed.
ad03	1		Gilgamesh has never flown a dragon.
ad03	0	*	Gillian has made pasta and David is too.
bc01	1		We love them.
sks13	1		The boys fought with each other.
bc01	1		Every town in every country I had to I visited.
ks08	1		What did you do?
l-93	0	*	Jennifer craned his neck.
r-67	0	*	They said nobody would pay up, but pay up I know a boy who did.
m_02	1		Fanny stopped talking because in came Aunt Norris.
ks08	0	*	John is likely to be kept on participants.
ad03	1		That Jason arrived infuriated Medea.
ks08	0	*	He might do leave.
sks13	0	*	John believes to have slept.
l-93	0	*	The string cut.
ks08	0	*	This matter was on which I consulted with the chairman of the Select Committee.
ks08	1		I doubt you can help me in understanding this.
l-93	1		Ellen told Helen a story.
ad03	1		They depend on Mary.
l-93	1		Jill met Sarah.
l-93	1		She always wore purple dresses.
l-93	0	*	Ellen told a story at Helen.
c_13	1		Andy promised we would go.
c_13	1		Leah likes cookies.
bc01	1		Can he not have been working?
l-93	1		Alison poked Daisy's ribs.
b_73	0	*	He's a so reliable man.
l-93	1		A little boy darted into the room.
bc01	0	*	The writers so believed the boy.
ks08	0	*	Kim is resembled by the model in nearly every detail.
ad03	1		Medea, Jason poisoned.
g_81	0	*	Who did you wonder saw Kim?
l-93	0	*	In price soared oil.
ks08	1		I believe it to be her father who was primarily responsible.
ks08	1		The museum displayed no painting by Miro or drawing by Klee.
ks08	1		I consider John the best candidate.
ks08	0	*	I read some book.
l-93	1		A solution to the problem presented itself yesterday.
c_13	1		John believes himself to be the best at baseball.
bc01	1		John is refused.
m_02	1		Harriet talked to Emma for hours.
m_02	1		The car was driven by Alison.
ks08	0	*	Pavarotti relied on Loren and Bond Hepburn.
bc01	1		Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library.
r-67	1		Although no one else believes that Sally is innocent, Harry believes it.
sgww85	1		Pat is a Republican and proud of it.
cj99	1		The more you eat, the more you want.
c_13	0	*	It was kissed her.
g_81	1		I have wanted to know for many years exactly what happened to Rosa.
c_13	1		Rory must have eaten the muffins.
m_02	0	*	If did Emma leave Hartfield, Mr Woodhouse would be unhappy.
c_13	1		I had eaten the deep fried muffins.
ks08	0	*	The roof is leaks.
r-67	1		How brave he is!
r-67	1		That the principal would fire some teacher was expected by the reporters.
ks08	1		I could have little known that more trouble was just around the corner.
ks08	1		The foxes seem compatible with the chickens.
d_98	1		John talked to every woman who came up to him.
ks08	1		John bought a lot of books for his sons.
ks08	1		Mary did not avoid Bill.
sks13	0	*	Did not Sue pass her exam?
d_98	1		Mary sang for everyone who wanted to hear her.
ks08	1		John persuaded Stephen to be more careful.
r-67	0	*	Bill left when I believe the claim that the bomb had just exploded.
ad03	1		Truman punched Johnson
bc01	0	*	The problem knows easily.
bc01	1		The candidate was dogged by charges of infidelity and avoiding the draft, or at least trying to.
sks13	0	*	Will put, this girl in the red coat will put a picture of Bill on your desk before tomorrow.
c_13	1		Calvin will strike himself.
sks13	1		it mattered on Sunday.
c_13	1		Frank will eat an apple and Morgan will too.
gj04	0	*	They caused him to become president by making him.
d_98	1		Any soldier should be prepared to die for her country.
cj99	1		You should always lock your door, no matter how fancy the hotel might be.
ks08	1		The students know the answers.
l-93	1		The presentation of a plaque was a proud moment.
r-67	0	*	Bill would be easy for it to become expensive for you to chat with in Moscow.
r-67	1		is taller than that man.
l-93	1		There appeared a ship on the horizon.
c_13	0	*	Chris said that himself was sad.
b_73	1		I don't want trouble.
rhl07	0	*	I lent Tony the book most of the way.
l-93	1		The explorers cut their way through the jungle.
b_73	1		There is enough of the bread left to have tomorrow.
bc01	1		A bear inhabits the cave.
l-93	0	*	The jeweller copied the ring with the name.
sks13	1		The moon glows in the darkness.
ks08	0	*	I am not certain about if he will come.
bc01	1		How do you think that Mary solved the problem?
r-67	1		Tom washed the car, and Dick waxed the car.
sks13	0	*	Red picture desk, this girl in the red coat will put a picture of.
l-93	1		We rummaged through the desk for papers.
bc01	1		The testing of such drugs on oneself is too risky.
d_98	1		You may pick any five flowers.
l-93	1		The letter established his innocence.
ks08	0	*	They have no and.
c_13	1		John went to the store.
l-93	1		I separated the yolk and the white.
c_13	1		It is likely that Jean left.
bc01	1		I expect John to win and Harry to lose.
bc01	1		John tapped the bottle of some water.
l-93	1		I admired the honesty in him.
ad03	1		Who did you introduce Athena to?
ad03	1		How fond of Esther is Agamemnon?
m_02	1		Tess is knocking at the door.
m_02	1		Henry wanted to have married Fanny before Edmund returned.
ks08	1		They pushed the prisoners into the truck.
ks08	1		Have the kids arrived safely?
ks08	0	*	The room contains little armchair.
sgww85	0	*	Kim beating his dog and alienates cats.
sgww85	1		That was a rude remark and in very bad taste.
sks13	1		For the girl to put a picture there is what I prefer.
l-93	1		Cynthia nibbled the carrot .
cj99	1		As you eat more, you want correspondingly less.
